Year,Social_Security,Social_Security_(GDP),Medicare,Medicare_(GDP),Medicaid,Medicaid_(GDP),Income_security,Income_security_(GDP),Major_health_care_programs,Major_health_care_programs_(GDP),All_Families_Below_Poverty_(With_and_Without_Children)_Percent,All_Families_Below_Poverty_(Without_Children)_Percent,Male_Total_Below_Poverty_Percent,Male_Under_18_Below_Poverty_Percent,Male_18_to_64_Below_Poverty_Percent,Male_64_and_Over_Below_Poverty_Percent,Female_Total_Below_Poverty_Percent,Female_Under_18_Below_Poverty_Percent,Female_18_to_64_Below_Poverty_Percent,Female_64_and_Over_Below_Poverty_Percent,Age-adjusted_Death_Rate_AllRaces_BothSexes,Age-adjusted_Death_Rate_AllRaces_Female,Age-adjusted_Death_Rate_AllRaces_Male,Age-adjusted_Death_Rate_Black_BothSexes,Age-adjusted_Death_Rate_Black_Female,Age-adjusted_Death_Rate_Black_Male,Age-adjusted_Death_Rate_White_BothSexes,Age-adjusted_Death_Rate_White_Female,Age-adjusted_Death_Rate_White_Male,Average_Life_Expectancy_(Years)_AllRaces_BothSexes,Average_Life_Expectancy_(Years)_AllRaces_Female,Average_Life_Expectancy_(Years)_AllRaces_Male,Average_Life_Expectancy_(Years)_Black_BothSexes,Average_Life_Expectancy_(Years)_Black_Female,Average_Life_Expectancy_(Years)_Black_Male,Average_Life_Expectancy_(Years)_White_BothSexes,Average_Life_Expectancy_(Years)_White_Female,Average_Life_Expectancy_(Years)_White_Male
1976,72.7,4.1,16.9,0.9,8.6,0.5,37.6,2.1,23.6,1.3,9.4,12.9,10.1,15.8,6.9,10.8,13.4,16.3,11.0,17.9,1084.1,849.4,1404.3,1311.2,1031.2,1676.0,1060.0,828.9,1379.5,72.9,76.8,69.1,67.2,71.6,62.9,73.6,77.5,69.9
1977,83.7,4.1,20.8,1.0,9.9,0.5,34.5,1.7,28.5,1.4,9.3,12.9,10.0,16.0,6.8,10.5,13.0,16.4,10.7,16.7,1051.6,820.7,1369.3,1286.0,1012.2,1647.9,1027.1,799.7,1343.5,73.3,77.2,69.5,67.7,72.0,63.4,74.0,77.9,70.2
1978,92.4,4.1,24.3,1.1,10.7,0.5,32.0,1.4,32.5,1.4,9.1,12.8,9.6,15.5,6.6,10.0,13.0,16.4,10.7,16.7,1043.7,816.4,1358.1,1267.7,995.1,1626.9,1020.1,796.6,1332.5,73.5,77.3,69.6,68.1,72.4,63.7,74.1,78.0,70.4
1979,102.6,4.0,28.2,1.1,12.4,0.5,32.1,1.3,37.9,1.5,9.2,12.6,10.1,16.2,6.9,11.2,13.2,16.6,10.8,18.0,1010.6,789.9,1316.2,1238.5,967.1,1601.5,986.8,770.1,1289.5,73.9,77.8,70.0,68.5,72.9,64.0,74.6,78.4,70.8
1980,117.1,4.2,34.0,1.2,14.0,0.5,44.3,1.6,45.0,1.6,10.3,14.7,11.2,18.1,7.9,10.9,14.7,18.6,12.1,19.0,1038.7,817.7,1347.6,1312.9,1031.8,1695.5,1012.5,796.0,1317.4,73.7,77.4,70.0,68.1,72.5,63.8,74.4,78.1,70.7
1981,137.9,4.4,41.3,1.3,16.8,0.5,49.8,1.6,54.8,1.7,11.2,15.9,12.1,19.7,8.9,10.5,15.8,20.4,13.2,18.6,1007.0,792.7,1308.2,1256.5,985.7,1626.6,984.0,773.6,1282.4,74.1,77.8,70.4,68.9,73.2,64.5,74.8,78.4,71.1
1982,153.9,4.6,49.2,1.5,17.4,0.5,53.1,1.6,62.7,1.9,12.2,17.5,13.4,21.9,9.9,10.4,16.5,21.9,14.1,17.5,984.9,776.4,1279.9,1220.1,958.8,1580.0,963.5,758.6,1255.9,74.5,78.1,70.8,69.4,73.6,65.1,75.1,78.7,71.5
1983,168.5,4.8,55.5,1.6,19.0,0.5,64.2,1.8,70.2,2.0,12.3,17.9,13.6,21.8,10.4,10.0,16.8,22.8,14.3,16.4,990.0,783.3,1284.4,1239.8,980.2,1600.5,967.4,764.1,1259.8,74.6,78.1,71.0,69.4,73.5,65.2,75.2,78.7,71.6
1984,176.1,4.5,61.1,1.5,20.1,0.5,51.8,1.3,76.1,1.9,11.6,17.2,12.8,20.9,9.8,8.7,15.9,22.1,13.6,15.0,982.1,779.4,1271.0,1234.5,974.9,1597.1,959.4,760.5,1245.5,74.7,78.2,71.1,69.5,73.6,65.3,75.3,78.7,71.8
1985,186.4,4.4,69.7,1.6,22.7,0.5,52.6,1.2,86.7,2.0,11.4,16.7,12.3,20.3,9.3,8.5,15.6,21.1,13.3,15.6,987.8,784.2,1277.6,1259.1,992.2,1632.9,963.4,764.2,1249.5,74.7,78.2,71.1,69.3,73.4,65.0,75.3,78.7,71.8
1986,196.5,4.3,74.2,1.6,25.0,0.6,54.5,1.2,93.4,2.1,10.9,16.3,11.8,20.5,8.5,8.4,15.2,20.4,13.1,15.2,978.4,778.5,1261.5,1264.6,992.7,1648.4,952.8,758.0,1230.5,74.7,78.2,71.2,69.1,73.4,64.8,75.4,78.8,71.9
1987,205.1,4.3,79.9,1.7,27.4,0.6,55.3,1.2,100.8,2.1,10.7,16.1,11.8,20.3,8.5,8.6,14.9,20.3,12.6,15.3,969.6,773.8,1245.7,1260.9,988.4,1646.3,943.2,753.2,1213.1,74.9,78.3,71.4,69.1,73.4,64.7,75.6,78.9,72.1
1988,216.8,4.2,85.7,1.7,30.5,0.6,57.5,1.1,107.4,2.1,10.4,15.7,11.5,19.8,8.4,8.0,14.5,19.3,12.5,14.9,975.1,780.5,1250.0,1281.9,1005.4,1673.1,947.2,758.7,1215.5,74.9,78.3,71.4,68.9,73.2,64.4,75.6,78.9,72.2
1989,230.4,4.1,93.2,1.7,34.6,0.6,61.1,1.1,117.3,2.1,10.3,15.5,11.2,19.5,8.1,7.8,14.4,19.8,12.3,13.9,949.9,761.3,1214.2,1273.5,995.8,1666.1,919.8,738.3,1176.0,75.1,78.5,71.7,68.8,73.3,64.3,75.9,79.2,72.5
1990,246.5,4.2,107.0,1.8,41.1,0.7,68.7,1.2,136.9,2.3,10.7,16.4,11.7,20.5,8.5,7.6,15.2,20.8,12.9,15.4,938.0,750.3,1202.0,1248.5,973.6,1642.4,909.2,728.3,1165.3,75.4,78.8,71.8,69.1,73.6,64.5,76.1,79.4,72.7
1991,266.8,4.4,114.2,1.9,52.5,0.9,86.9,1.4,154.6,2.5,11.5,17.7,12.3,21.3,9.0,7.9,16.0,22.2,13.6,15.5,921.9,737.9,1180.2,1233.6,961.8,1624.1,893.0,715.9,1142.8,75.5,78.9,72.0,69.3,73.8,64.6,76.3,79.6,72.9
1992,285.2,4.4,129.4,2.0,67.8,1.1,110.8,1.7,184.0,2.9,11.9,18.0,12.9,21.9,9.6,8.8,16.6,22.8,14.2,15.8,905.3,725.3,1158.0,1205.3,941.4,1586.2,877.5,703.9,1122.2,75.8,79.1,72.3,69.6,73.9,65.0,76.5,79.8,73.2
1993,302.0,4.5,143.2,2.1,75.8,1.1,117.1,1.7,203.7,3.0,12.3,18.5,13.3,22.7,10.0,7.9,16.9,22.7,14.8,15.2,925.8,745.6,1177.0,1240.2,968.6,1631.1,896.8,723.9,1138.7,75.5,78.8,72.2,69.2,73.7,64.6,76.3,79.5,73.1
1994,316.9,4.4,159.6,2.2,82.0,1.1,116.1,1.6,223.9,3.1,11.6,17.4,12.8,21.4,9.7,7.2,16.3,22.2,14.0,14.9,913.2,738.3,1155.1,1216.2,954.0,1591.9,885.3,717.3,1118.4,75.7,79.0,72.4,69.5,73.9,64.9,76.5,79.6,73.3
1995,333.3,4.4,177.1,2.3,89.1,1.2,116.6,1.5,246.0,3.3,10.8,16.3,12.2,20.4,9.4,6.2,15.4,21.2,13.3,13.6,909.5,739.2,1143.6,1213.6,955.7,1585.2,882.0,718.4,1107.2,75.8,78.9,72.5,69.6,73.9,65.2,76.5,79.6,73.4
1996,347.1,4.4,191.3,2.4,92.0,1.2,121.6,1.5,263.3,3.3,11.0,16.5,12.0,20.0,9.2,6.8,15.4,20.9,13.5,13.6,893.7,732.7,1115.2,1177.6,939.6,1523.2,868.7,713.3,1082.5,76.1,79.1,73.1,70.2,74.2,66.1,76.8,79.7,73.9
1997,362.3,4.3,207.9,2.5,95.6,1.1,122.5,1.4,283.0,3.3,10.3,15.7,11.6,19.7,8.7,7.0,14.9,20.0,13.2,13.1,877.7,725.3,1087.7,1139.2,921.6,1458.2,855.4,707.5,1058.7,76.5,79.4,73.6,71.1,74.7,67.2,77.1,79.9,74.3
1998,376.1,4.2,211.0,2.4,101.2,1.1,122.1,1.4,291.5,3.3,10.0,15.1,11.1,18.4,8.5,7.2,14.3,19.4,12.5,12.8,870.1,724.2,1068.9,1127.1,921.0,1429.8,848.9,706.9,1041.6,76.7,79.5,73.8,71.3,74.8,67.6,77.3,80.0,74.5
1999,387.0,4.1,209.3,2.2,108.0,1.1,129.0,1.4,296.3,3.1,9.3,13.8,10.4,16.7,8.3,6.8,13.2,17.5,11.8,11.7,875.6,734.0,1067.0,1135.7,933.6,1432.6,854.6,716.6,1040.1,76.7,79.4,73.9,71.4,74.7,67.8,77.3,79.9,74.6
2000,406.0,4.0,216.0,2.1,117.9,1.2,133.9,1.3,313.3,3.1,8.7,12.7,9.9,16.0,7.8,6.8,12.6,16.3,11.3,12.1,869.0,731.4,1053.8,1121.4,927.6,1403.5,849.8,715.3,1029.4,76.8,79.7,74.3,71.8,75.1,68.2,77.3,79.9,74.7
2001,429.4,4.1,237.9,2.3,129.4,1.2,143.1,1.4,347.1,3.3,9.2,13.4,10.4,16.2,8.5,7.0,12.9,16.4,11.6,12.4,858.8,725.6,1035.3,1106.2,917.9,1380.5,840.7,710.4,1012.1,77.0,79.5,74.3,72.0,75.3,68.5,77.5,80.0,74.9
2002,452.1,4.2,253.7,2.3,147.5,1.4,180.3,1.7,378.9,3.5,9.6,13.9,10.9,16.8,8.9,7.7,13.3,16.6,12.2,12.4,855.9,723.6,1030.6,1097.3,913.5,1364.8,839.0,709.3,1009.0,77.0,79.6,74.4,72.2,75.4,68.7,77.5,80.1,74.9
2003,470.5,4.2,274.2,2.4,160.7,1.4,196.2,1.7,410.8,3.6,10.0,14.8,11.2,17.7,9.1,7.3,13.7,17.6,12.4,12.5,843.5,715.2,1010.3,1080.5,898.3,1343.5,827.1,701.6,988.8,77.6,79.7,74.5,72.4,75.7,68.9,77.7,80.2,75.1
2004,491.5,4.1,297.0,2.5,176.2,1.5,190.6,1.6,445.7,3.7,10.2,14.8,11.5,17.8,9.7,7.0,13.9,17.8,12.9,11.9,813.7,690.5,973.3,1043.8,869.8,1296.9,798.5,677.7,953.2,77.5,80.1,75.0,72.9,76.1,69.4,78.1,80.5,75.5
2005,518.7,4.0,335.1,2.6,181.7,1.4,196.9,1.5,481.2,3.7,9.9,14.5,11.1,17.4,9.1,7.3,14.1,17.8,13.0,12.3,815.0,692.3,971.9,1035.1,862.7,1281.3,801.1,680.9,952.9,77.6,80.1,75.0,73.0,76.2,69.5,78.0,80.5,75.5
2006,543.9,4.0,376.8,2.8,180.6,1.3,200.0,1.5,511.0,3.7,9.8,14.6,11.0,17.2,9.2,6.6,13.6,17.6,12.5,11.5,791.8,672.2,943.4,997.9,828.4,1239.5,779.3,662.3,925.8,77.8,80.3,75.2,73.4,76.7,69.9,78.3,80.7,75.8
2007,581.4,4.1,436.1,3.0,190.6,1.3,203.1,1.4,567.4,4.0,9.8,15.0,11.1,17.9,9.1,6.6,13.8,18.1,12.6,12.0,775.3,658.1,922.9,972.0,808.1,1204.8,764.3,649.4,907.1,78.1,80.6,75.5,73.8,77.0,70.3,78.5,80.9,76.0
2008,612.1,4.1,456.0,3.1,201.4,1.4,260.7,1.8,594.1,4.0,10.3,15.7,12.0,18.8,10.1,6.7,14.4,19.2,13.2,11.9,774.9,660.0,918.8,947.6,792.0,1168.0,767.2,653.7,907.1,78.2,80.6,75.6,74.3,77.3,70.9,78.5,80.9,76.1
2009,677.7,4.7,499.9,3.5,250.9,1.7,350.2,2.4,683.6,4.7,11.1,17.1,13.0,20.4,11.2,6.6,15.6,21.0,14.6,10.7,749.6,636.8,890.9,912.8,763.3,1123.1,742.8,631.3,880.5,78.5,80.9,76.0,74.7,77.7,71.4,78.8,81.2,76.4
2010,700.8,4.7,520.5,3.5,272.8,1.8,437.3,2.9,727.1,4.9,11.8,18.5,14.0,22.2,12.0,6.7,16.3,21.9,15.5,10.7,747.0,634.9,887.1,898.2,752.5,1104.0,741.8,630.8,878.5,78.7,81.0,76.2,75.1,78.0,71.8,78.9,81.3,76.5
2011,724.9,4.7,559.6,3.6,275.0,1.8,404.0,2.6,763.5,4.9,11.8,18.5,13.6,21.6,11.8,6.2,16.3,22.2,15.5,10.7,741.3,632.4,875.3,877.1,739.8,1067.1,738.8,630.3,870.2,78.7,81.1,76.3,75.3,78.2,72.2,79.0,81.3,76.6
2012,767.7,4.8,551.1,3.4,250.5,1.6,353.6,2.2,725.8,4.5,11.8,18.4,13.6,21.3,11.9,6.6,16.3,22.3,15.4,11.0,732.8,624.7,865.1,864.8,723.9,1058.6,730.9,623.8,860.0,78.8,81.2,76.4,75.5,78.4,72.3,79.1,81.4,76.7
2013,807.8,4.8,585.2,3.5,265.4,1.6,339.5,2.0,767.6,4.6,11.7,18.1,13.2,21.5,11.2,7.5,16.3,21.5,15.4,12.3,731.9,623.5,863.6,860.8,720.6,1052.8,731.0,623.6,859.2,78.8,81.2,76.4,75.5,78.4,72.3,79.1,81.4,76.7
2014,844.9,4.8,599.8,3.4,301.5,1.7,310.9,1.8,831.0,4.8,11.6,17.6,13.4,21.2,11.6,7.4,16.1,21.1,15.3,12.1,724.6,616.7,855.1,849.3,713.3,1034.0,725.4,617.6,853.4,78.9,81.3,76.5,75.6,78.5,72.5,79.1,81.4,76.7
2015,881.9,4.9,634.1,3.5,349.8,1.9,301.0,1.7,936.5,5.2,10.4,16.3,12.2,19.5,10.5,7.0,14.8,19.9,14.2,10.3,733.1,624.2,863.2,851.9,710.8,1040.3,735.0,627.0,861.9,78.7,81.1,76.3,75.5,78.5,72.2,78.9,81.3,76.6
2016,910.3,4.9,692.5,3.7,368.3,2.0,303.7,1.6,"1,012.6",5.4,9.8,15.0,11.3,17.6,9.7,7.6,14.0,18.4,13.4,10.6,728.8,617.5,861.0,857.2,712.9,1049.5,729.9,619.4,858.9,78.7,81.1,76.2,75.3,78.3,72.0,78.9,81.3,76.4
2017,939.2,4.8,702.3,3.6,374.7,1.9,293.8,1.5,"1,030.4",5.3,9.3,14.2,10.9,17.1,9.3,7.6,13.6,17.6,12.8,11.2,731.9,619.7,864.5,854.1,706.1,1049.5,734.5,623.5,863.4,78.6,81.1,76.1,75.3,78.5,71.9,78.8,81.2,76.4
